COMMUNE_NL,COMMUNE_FR,COMMUNE_DE,PKANCODE,STREET_NL,STREET_FR,STREET_DE,HUISNR,LAT,LON
Lille,,,2275,Turnhoutsebaan,,,12,51.2717813408,4.87719346986
Lille,,,2275,Beukenlaan,,,32,51.2285835706,4.81220107816
Lille,,,2275,Huidevetterstraat,,,2,51.2625010813,4.78647277961
Lille,,,2275,Kerkstraat,,,22,51.238430817,4.82228866228
Lille,,,2275,Herentalsesteenweg,,,16,51.2256073276,4.83400781407
Lille,,,2275,Azalealaan,,,4,51.2592981885,4.79116678109
Lille,,,2275,Boskapelstraat,,,35,51.2346099406,4.82260464847
Lille,,,2275,Tielenbaan,,,29,51.2377073414,4.82770783072
Lille,,,2275,Kloosterstraat,,,86,51.2638404085,4.86252729828
Lille,,,2275,Waterlaat,,,3,51.2624519027,4.87143287392
Lille,,,2275,Heggelaan,,,71,51.2208458801,4.83053557482
Lille,,,2275,Heiend,,,123,51.2310571542,4.81120959431
Lille,,,2275,Blommerschotsebaan,,,12,51.2659705246,4.77853521403
Lille,,,2275,Valvekenstraat,,,13,51.2522681587,4.81816054491
Lille,,,2275,Gierlebaan,,,33,51.2438777516,4.82641224025
Lille,,,2275,Schoolstraat,,,9,51.2672798778,4.86586079134
Lille,,,2275,Beersebaan,,,22,51.2698407094,4.86709133644
Lille,,,2275,Blommerschotsebaan,,,9,51.2647720437,4.77894171167
Lille,,,2275,Kapelstraat,,,48,51.2459236597,4.82500725646
Lille,,,2275,Vlimmersebaan,,,37,51.2662099447,4.78728808524
Lille,,,2275,Wechelsebaan,,,23,51.2433165003,4.82179854803
Lille,,,2275,Broekzijstraat,,,48,51.2393722875,4.80564144596
Lille,,,2275,Kloosterstraat,,,71,51.2630353428,4.8620254901
Lille,,,2275,Veenakkers,,,1,51.2586590097,4.86467666734
Lille,,,2275,Laagland,,,7,51.2314238839,4.82836515007
Lille,,,2275,Karredongen,,,20A,51.2664112551,4.8247051936
Lille,,,2275,Gierlebaan,,,131,51.2547219638,4.84572862948
Lille,,,2275,Oostmalsebaan,,,33,51.2648911697,4.78349044437
Lille,,,2275,Beek,,,18,51.2348663359,4.83272485169
Lille,,,2275,Kloosterstraat,,,105,51.2602077976,4.85851551776
Lille,,,2275,Beek,,,53,51.2355936302,4.83474808648
Lille,,,2275,Neerzand,,,4,51.2184506287,4.82730174326
Lille,,,2275,Nachtegalenstraat,,,8,51.2509445047,4.82002747972
Lille,,,2275,Hoogland,,,14,51.2359019114,4.83584651299
